--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
cropped_words/bbox_1_0.jpg	b                        	0.7556
cropped_words/bbox_1_2.jpg	e                        	0.5213
cropped_words/bbox_1_4.jpg	i                        	0.2092
cropped_words/bbox_1_6.jpg	it                       	0.1974
cropped_words/bbox_1_8.jpg	ie                       	0.1081
cropped_words/bbox_1_10.jpg	e                        	0.4024
cropped_words/bbox_1_12.jpg	random                   	0.5596
cropped_words/bbox_1_14.jpg	house                    	0.4635
cropped_words/bbox_4_0.jpg	toe                      	0.0068
cropped_words/bbox_4_2.jpg	oe                       	0.0021
cropped_words/bbox_4_4.jpg	oe                       	0.0066
cropped_words/bbox_4_6.jpg	oe                       	0.0082
cropped_words/bbox_4_8.jpg	oe                       	0.0072
cropped_words/bbox_4_10.jpg	oe                       	0.0052
cropped_words/bbox_4_12.jpg	t                        	0.0210
cropped_words/bbox_4_14.jpg	ae                       	0.0085
cropped_words/bbox_4_16.jpg	oe                       	0.0069
cropped_words/bbox_4_18.jpg	toe                      	0.0074
cropped_words/bbox_6_0.jpg	i                        	0.4333
cropped_words/bbox_6_2.jpg	                         	0.0033
cropped_words/bbox_6_4.jpg	i                        	0.0000
cropped_words/bbox_6_6.jpg	g                        	0.0000
cropped_words/bbox_6_8.jpg	i                        	0.0006
cropped_words/bbox_6_10.jpg	                         	0.0497
cropped_words/bbox_6_12.jpg	e                        	0.0000
cropped_words/bbox_6_14.jpg	o                        	0.0016
cropped_words/bbox_9_0.jpg	o                        	0.0140
cropped_words/bbox_9_2.jpg	                         	0.0104
cropped_words/bbox_9_4.jpg	to                       	0.0064
cropped_words/bbox_9_6.jpg	o                        	0.0007
cropped_words/bbox_9_8.jpg	the                      	0.0067
cropped_words/bbox_9_10.jpg	oe                       	0.0070
cropped_words/bbox_9_12.jpg	i                        	0.2723
cropped_words/bbox_9_14.jpg	e                        	0.0000
cropped_words/bbox_9_16.jpg	o                        	0.0108
cropped_words/bbox_9_18.jpg	i                        	0.4138
cropped_words/bbox_9_20.jpg	e                        	0.0000
cropped_words/bbox_9_22.jpg	oe                       	0.0029
cropped_words/bbox_9_24.jpg	a                        	0.0031
cropped_words/bbox_9_26.jpg	o                        	0.0001
